value,word
NEG,가/JKS;시급/XR
NEG,가/JKS;시급/XR;하/XSA
POS,가/JKS;쏠쏠/XR
POS,가/JKS;쏠쏠/XR;하/XSA
NEUT,가/JKS;아프/VA
NEUT,가/JKS;아프/VA;고/EC
POS,가/JKS;어우러지/VV
POS,가/JKS;얼마나/MAG
POS,가/JKS;얼마나/MAG;오랜/MM
POS,가/JKS;얼마나/MAG;종류/NNG
POS,가/JKS;얼마나/MAG;좋/VA
NEG,가/JKS;없/VA
NEG,가/JKS;없/VA;다/EF
NEG,가/JKS;없/VA;잖아/EF
POS,가/JKS;열리/VV
POS,가/JKS;열리/VV;ㄴ다/EF
NEUT,가/JKS;울리/VV
NEUT,가/JKS;울리/VV;ㄹ/ETM
NEG,가/JKS;일어나/VV
NEG,가/JKS;일정/NNG
NEG,가/JKS;일정/NNG;하/XSA
NEG,가/JKS;잇따르/VV
POS,가/JKS;있/VV
POS,가/JKS;있/VV;나/EC
NEUT,가/JKS;있/VV;다/EF
NEG,가/JKS;있/VV;어/EC
POS,가/JKS;작용/NNG
POS,가/JKS;작용/NNG;하/XSV
NEUT,가/JKS;장주/NNG
NEUT,가/JKS;장주/NNG;가/JKC
NEG,가/JKS;적/VA
NEG,가/JKS;적/VA;지/EC
POS,가/JKS;주장/NNG
POS,가/JKS;주장/NNG;하/XSV
NEG,가/JKS;죽/VV
NEG,가/JKS;죽/VV;어/EC
POS,가/JKS;줄/VV
POS,가/JKS;줄/VV;어/EC
NEG,가/JKS;짧/VA
POS,가/JKS;차/VV
POS,가/JKS;차/VV;기/ETN
NEG,가/JKS;차단/NNG
NEG,가/JKS;차단/NNG;되/XSV
POS,가/JKS;크/VA
POS,가/JKS;크/VA;게/EC
POS,가/JKS;태익/NNP
POS,가/JKS;태익/NNP;이/VCP
NEG,가/JKS;특허/NNG
NEG,가/JKS;특허/NNG;와/JC
POS,가/JKS;평화/NNG
POS,가/JKS;평화/NNG;의/JKG
NEG,가/JKS;풀리/VV
NEG,가/JKS;하/VV
NEG,가/JKS;하/VV;라는/ETM
NEG,가/JKS;횡행/NNG
NEG,가/JKS;횡행/NNG;하/XSV
POS,가/JKS;흐르/VV
POS,가/JKS;힘/NNG
POS,가/JKS;힘/NNG;이/JKC
NEG,가/VV
POS,가/VV;기/ETN
POS,가/VV;기/ETN;시작/NNG
NEG,가/VV;ㄴ/ETM
NEG,가/VV;ㄴ/ETM;데/NNB
NEUT,가/VV;네/EC
NEG,가/VV;는/ETM
NEG,가/VV;는/ETM;것/NNB
NEUT,가/VV;는/ETM;경우/NNG
NEG,가/VV;ㄹ/ETM
NEG,가/VV;ㄹ/ETM;수/NNB
None,가/VV;ㄹ수록/EC
POS,가/VV;ㅂ시당/EF
NEG,가/VV;았/EP
NEG,가/VV;았/EP;다/EC
NEG,가/VV;았/EP;다가/EC
NEG,가/VV;지/EF
POS,가/VX
NEG,가/VX;고/EC
NEG,가/VX;고/EC;있/VX
POS,가/VX;ㄹ/ETM
POS,가/VX;ㄹ/ETM;계획/NNG
POS,가/VX;ㄹ/ETM;수/NNB
None,가/VX;며/EC
POS,가격/NNG
POS,가격/NNG;보다/JKB
POS,가격/NNG;의/JKG
POS,가격/NNG;의/JKG;절반/NNG
NEG,가까이/MAG
POS,가까이/MAG;다가가/VV
NEG,가까이/MAG;초과/NNG
NEG,가까이/MAG;초과/NNG;하/XSV
NEG,가깝/VA
POS,가깝/VA;게/EC
POS,가깝/VA;게/EC;느끼/VV
POS,가꾸/VV
POS,가꾸/VV;며/EC
POS,가꾸/VV;며/EC;살아오/VV
POS,가늠/NNG
POS,가늠/NNG;하/XSV
NEG,가능*/NNG
NEG,가능*/NNG;성/XSN
NEG,가능*/NNG;성/XSN;이/JKS
NEUT,가능/NNG
NEUT,가능/NNG;성/XSN
NEG,가능/NNG;성/XSN;의/JKG
NEUT,가능/NNG;성/XSN;이/JKS
POS,가능/NNG;하/XSA
POS,가능/NNG;하/XSA;게/EC
POS,가능/NNG;하/XSA;ㄴ/ETM
NEG,가능/XR
NEG,가능/XR;성/XSN
NEG,가능/XR;성/XSN;은/JX
POS,가능/XR;성/XSN;이/JKS
POS,가도/NNG
POS,가도/NNG;를/JKO
POS,가도/NNG;를/JKO;달리/VV
NEG,가득/MAG
NEG,가득/MAG;차/VV
NEG,가로막히/VV
NEG,가르치/VV
NEG,가르치/VV;는/ETM
NEG,가르치/VV;는/ETM;책/NNG
POS,가르치/VV;ㄹ/ETM
POS,가르치/VV;ㄹ/ETM;수/NNB
NEG,가르치/VV;려면/EC
NEG,가르치/VV;려면/EC;공부/NNG
POS,가리/VV
POS,가리/VV;지/EC
POS,가리/VV;지/EC;않/VX
NEG,가사/NNG
NEG,가사/NNG;노동/NNG
NEG,가사/NNG;노동/NNG;에/JKB
NEG,가스/NNG
NEG,가스/NNG;가/JKS
NEG,가스/NNG;가/JKS;새/VV
POS,가슴/NNG
POS,가슴/NNG;은/JX
POS,가슴/NNG;은/JX;녹아내리/VV
NEG,가슴/NNG;을/JKO
NEG,가슴/NNG;을/JKO;치밀/VV
COMP,가슴/NNG;이/JKS
COMP,가슴/NNG;이/JKS;떨리/VV
POS,가슴/NNG;이/JKS;뛰/VV
NEUT,가슴/NNG;이나/JC
NEUT,가슴/NNG;이나/JC;이빨/NNG
NEUT,가을/NNG
NEUT,가을/NNG;같/VA
POS,가장/MAG
NEG,가장/MAG;고독/NNG
NEG,가장/MAG;고독/NNG;하/XSA
POS,가장/MAG;긍정/NNG
POS,가장/MAG;긍정/NNG;적/XSN
POS,가장/MAG;길/VA
COMP,가장/MAG;깜찍/XR
COMP,가장/MAG;깜찍/XR;하/XSA
POS,가장/MAG;내용/NNG
POS,가장/MAG;내용/NNG;이/JKS
POS,가장/MAG;널리/MAG
POS,가장/MAG;널리/MAG;알리/VV
POS,가장/MAG;단적/NNG
POS,가장/MAG;단적/NNG;으로/JKB
NEG,가장/MAG;많이/MAG
NEG,가장/MAG;많이/MAG;발생/NNG
POS,가장/MAG;먼저/MAG
POS,가장/MAG;먼저/MAG;필요/NNG
POS,가장/MAG;상식/NNG
POS,가장/MAG;상식/NNG;적/XSN
POS,가장/MAG;성공/NNG
POS,가장/MAG;성공/NNG;하/XSV
POS,가장/MAG;솔직/XR
POS,가장/MAG;솔직/XR;하/XSA
POS,가장/MAG;아름답/VA
POS,가장/MAG;아름답/VA;게/EC
NEG,가장/MAG;어렵/VA
NEG,가장/MAG;어렵/VA;ㄴ/ETM
NEG,가장/MAG;위협/NNG
NEG,가장/MAG;위협/NNG;하/XSV
POS,가장/MAG;인기/NNG
POS,가장/MAG;인기/NNG;이/VCP
POS,가장/MAG;일관/XR
POS,가장/MAG;일관/XR;되/XSV
POS,가장/MAG;전문가/NNG
POS,가장/MAG;전문가/NNG;집단/NNG
POS,가장/MAG;좋/VA
POS,가장/MAG;좋/VA;아/EC
POS,가장/MAG;친근/XR
POS,가장/MAG;친근/XR;하/XSA
NEG,가장/MAG;크/VA
NEG,가장/MAG;크/VA;ㄴ/ETM
NEG,가장/MAG;하/XSV
NEG,가장/MAG;하/XSV;ㄴ/ETM
POS,가장/MAG;흉내/NNG
POS,가장/MAG;흉내/NNG;내/VV
POS,가족/NNG
POS,가족/NNG;들/XSN
POS,가족/NNG;들/XSN;이/JKS
POS,가족/NNG;은/JX
POS,가족/NNG;은/JX;결코/MAG
NEG,가족/NNG;이/JKS
NEG,가족/NNG;이/JKS;있/VV
POS,가족/NNG;이/JKS;함께/MAG
NEG,가족/NNG;하고*/JKB
NEG,가족/NNG;하고*/JKB;함께/MAG
NEG,가증/XR
NEG,가증/XR;스럽/XSA
NEG,가지/NNB
NEG,가지/NNB;가/JKS
NEG,가지/NNB;가/JKS;넘/VV
NEG,가지/NNB;단점/NNG
NEG,가지/NNB;단점/NNG;이/JKS
NEG,가지/NNB;문제/NNG
POS,가지/VV
NEUT,가지/VV;고/EC
NEUT,가지/VV;고/EC;오/VX
POS,가지/VV;ㄴ/ETM
POS,가지/VV;ㄴ/ETM;사람/NNG
NEG,가지/VV;ㄴ/ETM;재주/NNG
POS,가지/VV;ㄴ/ETM;제품/NNG
NEG,가지/VV;어다/EC
NEG,가지/VV;어다/EC;놓/VX
NEG,가책/NNG
NEG,가책/NNG;이/JKS
NEG,가책/NNG;이/JKS;나/NP
NEG,가출/NNG
NEG,가출/NNG;하/XSV
POS,가치/NNG
POS,가치/NNG;가/JKS
POS,가치/NNG;가/JKS;있/VV
NEUT,가치/NNG;는/JX
NEUT,가치/NNG;는/JX;신/XPN
POS,가치/NNG;를/JKO
POS,가치/NNG;를/JKO;높이/VV
POS,가치/NNG;체계/NNG
POS,가치/NNG;체계/NNG;나/JC
NEUT,가타부타/NNG
NEUT,가타부타/NNG;아무런/MM
NEUT,가타부타/NNG;아무런/MM;응답/NNG
NEG,가파르/VA
NEG,가파르/VA;고/EC
NEG,가하/VV
POS,각광/NNG
POS,각국/NNG
POS,각국/NNG;의/JKG
POS,각국/NNG;의/JKG;보건/NNG
POS,각별/XR
POS,각별/XR;하/XSA
POS,각별/XR;하/XSA;ㅁ/ETN
POS,각별히/MAG
POS,각성/NNG
POS,각성/NNG;하/XSV
POS,각양각색/NNG
POS,각양각색/NNG;이/VCP
NEG,각종/NNG
NEG,각종/NNG;범죄/NNG
NEG,각종/NNG;범죄/NNG;를/JKO
NEG,간/NNB
NEG,간/NNB;상속/NNG
POS,간곡/XR
POS,간곡/XR;하/XSA
POS,간단히/MAG
POS,간밤/NNG
POS,간밤/NNG;의/JKG
POS,간밤/NNG;의/JKG;긴박/NNG
NEG,간신히/MAG
NEG,간신히/MAG;매달리/VV
NEG,간신히/MAG;매달리/VV;어/EC
NEG,간주/NNG
NEG,간주/NNG;하/XSV
NEG,간첩/NNG
NEG,간첩/NNG;등/NNB
NEG,간첩/NNG;등/NNB;불순/NNG
POS,간편/XR
POS,간편/XR;하/XSA
POS,간호/NNG
COMP,갇히/VV
COMP,갇히/VV;어/EC
COMP,갇히/VV;어/EC;있/VX
POS,갈구/NNG
POS,갈구/NNG;하/XSV
NEG,갈등/NNG
NEG,갈수록/MAG
NEG,갈수록/MAG;모자라/VV
NEG,갈피/NNG
NEG,갈피/NNG;를/JKO
NEG,갈피/NNG;를/JKO;못/MAG
POS,갈피/NNG;마다/JX
POS,갈피/NNG;마다/JX;에/JKB
NEG,감/NNG
NEG,감/NNG;이/JKS
POS,감/NNG;이/JKS;들/VV
NEG,감/NNG;이/JKS;없/VA
NEG,감각/NNG
NEG,감각/NNG;적/XSN
NEG,감각/NNG;적/XSN;의지/NNG
NEG,감내/NNG
NEG,감내/NNG;하/XSV
NEG,감내/NNG;하/XSV;지/EC
NEG,감독/NNG
POS,감독/NNG;과*/JKB
POS,감독/NNG;과*/JKB;영화/NNG
POS,감독/NNG;과/JKB
POS,감독/NNG;과/JKB;영화/NNG
NEG,감독/NNG;을/JKO
NEG,감독/NNG;을/JKO;게을리/MAG
NEG,감독/NNG;의/JKG
NEG,감독/NNG;의/JKG;영화/NNG
NEUT,감독/NNG;이/JKS
NEUT,감독/NNG;이/JKS;갑자기/MAG
NEUT,감독/NNG;이/JKS;미국/NNP
POS,감동/NNG
POS,감동/NNG;깊/VA
POS,감동/NNG;으로/JKB
POS,감사/NNG
POS,감사/NNG;하/XSV
POS,감사/NNG;하/XSV;ㅂ니다/EF
POS,감칠맛/NNG
POS,감칠맛/NNG;나/VV
POS,감탄사/NNG
POS,감탄사/NNG;를/JKO
POS,감탄사/NNG;를/JKO;연발/NNG
NEUT,갑자기/MAG
NEUT,갑자기/MAG;돌아오/VV
NEUT,갑자기/MAG;돌아오/VV;았/EP
NEUT,갑자기/MAG;호흡/NNG
NEUT,갑자기/MAG;호흡/NNG;이/JKS
NEUT,갑작스레/MAG
NEUT,갑작스레/MAG;꿈/NNG
NEUT,갑작스레/MAG;꿈/NNG;에서/JKB
POS,값/NNG
POS,값/NNG;등/NNB
POS,값/NNG;등/NNB;을/JKO
POS,값/NNG;싸/VA
POS,값/NNG;싸/VA;고/EC
NEG,값/NNG;으로/JKB
NEG,값/NNG;으로/JKB;팔리/VV
POS,값싸/VA
POS,강군/NNG
POS,강단/NNG
POS,강단/NNG;교류/NNG
NEG,강도/NNG
NEG,강도/NNG;높/VA
NEG,강도/NNG;높/VA;게/EC
POS,강도/NNG;있/VV
NEG,강력/XR
NEG,강력/XR;하/XSA
NEG,강력/XR;하/XSA;ㄴ/ETM
POS,강렬/XR
POS,강렬/XR;하/XSA
NEG,강물/NNG
NEG,강물/NNG;위/NNG
NEG,강물/NNG;위/NNG;에/JKB
NEG,강박/NNG
NEG,강박/NNG;에/JKB
NEG,강박/NNG;에/JKB;시달리/VV
NEG,강요/NNG
NEG,강요/NNG;하/XSV
NEG,강의/NNG
NEG,강의/NNG;하/XSV
NEG,강의/NNG;하/XSV;ㄴ다/EF
POS,강점/NNG
POS,강점/NNG;으로/JKB
POS,강점/NNG;으로/JKB;내세우/VV
POS,강제/NNG
POS,강제/NNG;하/XSV
POS,강조/NNG
POS,강조/NNG;하/XSV
POS,강하/VA
POS,강화/NNG
POS,강화/NNG;되/XSV
POS,강화/NNG;하/XSV
POS,강화책/NNG
NEG,갖/VV
POS,갖/VV;게/EC
POS,갖/VV;게/EC;되/VV
NEG,갖/VV;지/EC
NEG,갖/VV;지/EC;못하/VX
NEG,갖가지/NNG
NEG,갖가지/NNG;사회/NNG
NEG,갖가지/NNG;사회/NNG;적/XSN
POS,갖추/VV
NEG,같/VA
NEG,같/VA;다/EF
NEG,같/VA;은/ETM
NEUT,같/VA;은/ETM;모호/XR
POS,같/VA;은/ETM;연극/NNG
POS,같/VA;은/ETM;영화/NNG
NEG,같/VA;은/ETM;인상/NNG
NEG,같/VA;은/ETM;입시/NNG
NEG,같이/JKB
NEG,같이/JKB;붓/NNG
NEG,같이/JKB;붓/NNG;을/JKO
NEG,같이/JKB;비판/NNG
NEG,같이/JKB;비판/NNG;하/XSV
NEG,같이/MAG
POS,같이/MAG;하/VV
NEG,같이/MAG;허둥대/VV
NEG,같이/MAG;허둥대/VV;며/EC
POS,갚/VV
POS,갚/VV;는/ETM
POS,갚/VV;는/ETM;것/NNB
POS,개/NNG
POS,개념/NNG
POS,개념/NNG;만/JX
POS,개념/NNG;만/JX;벗어나/VV
NEG,개방/NNG
NEG,개방/NNG;정책/NNG
NEG,개방/NNG;정책/NNG;이/JKS
POS,개선/NNG
POS,개선/NNG;하/XSV
POS,개선/NNG;하/XSV;아/EC
POS,개성/NNG
POS,개성/NNG;어리/VV
POS,개성/NNG;있/VA
POS,개성/NNG;있/VV
COMP,개인/NNG
COMP,개인/NNG;적/XSN
COMP,개인/NNG;적/XSN;견해/NNG
POS,개인/NNG;적/XSN;자유/NNG
NEG,개입/NNG
NEG,개조/NNG
NEG,개조/NNG;과제/NNG
POS,개척/NNG
POS,개척/NNG;에/JKB
POS,개척/NNG;에/JKB;본격/NNG
NEG,개혁/NNG
POS,개혁/NNG;등/NNB
POS,개혁/NNG;등/NNB;을/JKO
NEG,개혁/NNG;을/JKO
NEG,개혁/NNG;을/JKO;하/VV
NEG,객관/NNG
NEG,객관/NNG;적/XSN
NEG,객관/NNG;적/XSN;실상/NNG
POS,객관/NNG;화/XSN
POS,객관/NNG;화/XSN;시키/XSV
NEG,거/NNB
NEG,거/NNB;같/VA
NEG,거/NNB;이/VCP
NEG,거/NNB;이/VCP;다/EC
NEG,거/NP
None,거꾸로/MAG
NEG,거나/EC
NEG,거나/EC;가족/NNG
NEG,거나/EC;가족/NNG;이/JKS
POS,거나/EC;목소리/NNG
POS,거나/EC;목소리/NNG;높이/VV
NEUT,거나/EC;의식/NNG
NEUT,거나/EC;의식/NNG;장애/NNG
NEG,거나/EC;인터뷰/NNG
NEG,거나/EC;인터뷰/NNG;를/JKO
NEUT,거나/EC;자/VV
NEUT,거나/EC;자/VV;다/EC
NEG,거나/EC;포기/NNG
NEG,거나/EC;포기/NNG;하/XSV
NEG,거느리/VV
NEG,거느리/VV;ㄴ/ETM
NEG,거느리/VV;ㄴ/ETM;일직선/NNG
COMP,거대/XR
COMP,거대/XR;하/XSA
COMP,거대/XR;하/XSA;ㄴ/ETM
POS,거두/VV
None,거듭/MAG
None,거듭/MAG;말/NNG
None,거듭/MAG;말/NNG;하/XSV
POS,거듭나/VV
NEG,거룩/XR
NEG,거룩/XR;하/XSA
NEG,거룩/XR;하/XSA;ㄴ/ETM
NEG,거리/NNG
NEG,거리/NNG;를/JKO
NEG,거리/NNG;를/JKO;유지/NNG
POS,거리낌/NNG
POS,거리낌/NNG;없이/MAG
POS,거봉/NNG
NEG,거부/NNG
NEG,거부/NNG;하/XSV
NEG,거부/NNG;하/XSV;ㄹ/ETM
NEG,거세/NNG
NEG,거세/NNG;공포/NNG
NEG,거세/NNG;공포/NNG;로부터/JKB
POS,거세/VA
POS,거울/NNG
POS,거울/NNG;이/VCP
POS,거울/NNG;이/VCP;며/EC
None,거의/MAG
NEG,거의/MAG;거치/VV
NEG,거의/MAG;거치/VV;지/EC
NEG,거의/MAG;반영/NNG
NEG,거의/MAG;반영/NNG;하/XSV
POS,거의/MAG;없/VA
None,거의/MAG;이루/VV
None,거의/MAG;이루/VV;어/EC
NEG,거짓/NNG
POS,거짓/NNG;없이/MAG
NEG,거짓말/NNG
NEG,거치/VV
POS,거치/VV;어/EC
POS,거치/VV;어/EC;오/VX
NEG,거치/VV;지/EC
NEG,거치/VV;지/EC;않/VX
POS,거칠/VA
POS,거칠/VA;ㄴ/ETM
POS,거칠/VA;ㄴ/ETM;숨소리/NNG
POS,거푸집/NNG
POS,거푸집/NNG;속/NNG
POS,거푸집/NNG;속/NNG;에서/JKB
POS,거품/NNG
POS,거품/NNG;도/JX
POS,거품/NNG;도/JX;만들/VV
NEG,걱정/NNG
NEG,걱정/NNG;되/XSV
NEG,건/NNB
NEG,건/NNB;이상/NNG
NEG,건/NNB;이상/NNG;교통/NNG
POS,건강/NNG
POS,건강/NNG;을/JKO
POS,건강/NNG;을/JKO;지키/VV
POS,건강/NNG;이/JKS
POS,건강/NNG;이/JKS;좋/VA
POS,건강/NNG;하/XSV
None,건대/EC
NEG,건드리/VV
NEG,건드리/VV;지/EC
NEG,건드리/VV;지/EC;도/JX
NEG,건물/NNG
NEG,건물/NNG;형식/NNG
NEG,건물/NNG;형식/NNG;을/JKO
NEG,건배/NNG
NEG,건수/NNG
NEG,건수/NNG;가/JKS
NEG,건수/NNG;가/JKS;많/VA
POS,건실/XR
POS,건실/XR;하/XSA
POS,건의/NNG
POS,건의/NNG;하/XSV
POS,건전/NNG
POS,건전/NNG;레포츠/NNG
POS,건전/NNG;레포츠/NNG;로/JKB
POS,건축/NNG
POS,건축/NNG;도/JX
POS,건축/NNG;도/JX;하나/NR
POS,건축/NNG;양식/NNG
NEUT,건축/NNG;창작/NNG
NEUT,건축/NNG;창작/NNG;도/JX
NEG,건축물/NNG
NEG,건축물/NNG;을/JKO
NEG,건축물/NNG;을/JKO;설계/NNG
NEG,걷/VV
NEG,걷/VV;는/ETM
NEG,걷/VV;는/ETM;것/NNB
NEG,걷/VV;어/EC
NEG,걷/VV;어/EC;내/VX
POS,걸/VV
POS,걸/VV;어/EC
POS,걸/VV;어/EC;나오/VV
POS,걸/VV;어/EC;주/VX
NEG,걸리/VV
NEG,걸림돌/NNG
POS,걸맞/VA
POS,걸맞/VA;게/EC
NEG,검사/NNG
NEG,검사/NNG;등/NNB
NEG,검사/NNG;등/NNB;으로/JKB
NEG,검사/NNG;로/JKB
NEG,검사/NNG;로/JKB;확인/NNG
COMP,검토/NNG
COMP,검토/NNG;하/XSV
NEUT,겁/NNG
NEUT,겁/NNG;없이/MAG
None,것/NNB
None,것/NNB;같/VA
NEG,것/NNB;같/VA;다/EF
NEG,것/NNB;같/VA;은/ETM
NEG,것/NNB;과/JKB
NEG,것/NNB;과/JKB;마찬가지/NNG
POS,것/NNB;과/JKB;생필품/NNG
NEG,것/NNB;ㄴ/JX
NEG,것/NNB;ㄴ/JX;바람직/XR
NEG,것/NNB;ㄴ/JX;절대/MAG
POS,것/NNB;ㄴ/JX;젊/VA
NEG,것/NNB;도/JX
NEG,것/NNB;도/JX;그/NP
NEG,것/NNB;도/JX;믿/VV
NEG,것/NNB;도/JX;아니/VCN
POS,것/NNB;도/JX;아마/MAG
None,것/NNB;도/JX;있/VV
POS,것/NNB;들/XSN
POS,것/NNB;들/XSN;을/JKO
NEG,것/NNB;때문/NNB
NEG,것/NNB;때문/NNB;에/JKB
NEUT,것/NNB;로/JKB
NEUT,것/NNB;로/JKB;기억/NNG
POS,것/NNB;만/JX
POS,것/NNB;만/JX;도/JX
POS,것/NNB;만/JX;으로/JKB
POS,것/NNB;보다/JKB
POS,것/NNB;보다/JKB;그동안/NNG
None,것/NNB;아니/VCN
None,것/NNB;아니/VCN;ㅂ니까/EF
POS,것/NNB;으로/JKB
POS,것/NNB;으로/JKB;기대/NNG
POS,것/NNB;으로/JKB;단맛/NNG
POS,것/NNB;으로/JKB;여기/VV
POS,것/NNB;으로/JKB;추정/NNG
NEG,것/NNB;으로/JKB;풀이/NNG
NEG,것/NNB;은/JX
NEG,것/NNB;은/JX;아니/VCN
POS,것/NNB;은/JX;자아/NNG
NEG,것/NNB;을/JKO
NEG,것/NNB;을/JKO;깨닫/VV
NEG,것/NNB;을/JKO;돈/NNG
NEUT,것/NNB;을/JKO;만들/VV
NEG,것/NNB;을/JKO;요구/NNG
POS,것/NNB;을/JKO;확인/NNG
POS,것/NNB;이/JKC
POS,것/NNB;이/JKC;아니/VCN
NEG,것/NNB;이/JKS
NEG,것/NNB;이/JKS;국기/NNG
POS,것/NNB;이/JKS;더/MAG
POS,것/NNB;이/JKS;도움/NNG
POS,것/NNB;이/JKS;뭐/NP
NEUT,것/NNB;이/JKS;사실/NNG
POS,것/NNB;이/JKS;안/MAG
NEG,것/NNB;이/JKS;얼마나/MAG
NEG,것/NNB;이/JKS;없/VA
NEUT,것/NNB;이/JKS;이/MM
NEG,것/NNB;이/JKS;힘들/VA
None,것/NNB;이/VCP
None,것/NNB;이/VCP;고/EC
None,것/NNB;이/VCP;ㄴ가/EF
NEUT,것/NNB;이/VCP;ㄴ지/EC
None,것/NNB;이/VCP;다/EF
None,것/NNB;이/VCP;ㄹ까/EF
NEG,것/NNB;이/VCP;라고/EC
None,것/NNB;이/VCP;라는/ETM
NEG,것/NNB;이/VCP;ㅁ/ETN
NEG,것/NNB;이/VCP;ㅂ니다/EF
NEG,것/NNB;처럼/JKB
NEG,것/NNB;처럼/JKB;노려보/VV
POS,것/NNB;처럼/JKB;보이/VV
NEG,게*/JKB
NEG,게*/JKB;미치/VV
NEG,게*/JKB;미치/VV;었/EP
POS,게/EC
NEG,게/EC;갇히/VV
NEG,게/EC;갇히/VV;어/EC
NEG,게/EC;결심/NNG
NEG,게/EC;결심/NNG;을/JKO
POS,게/EC;겹치/VV
NEG,게/EC;경고/NNG
NEG,게/EC;경고/NNG;하/XSV
NEUT,게/EC;구분/NNG
NEUT,게/EC;구분/NNG;되/XSV
POS,게/EC;굳/VV
POS,게/EC;굳/VV;지/EC
NEG,게/EC;그리/VV
NEG,게/EC;그리/VV;니/EF
POS,게/EC;기회/NNG
POS,게/EC;기회/NNG;를/JKO
NEG,게/EC;깎/VV
NEG,게/EC;깎/VV;았/EP
NEG,게/EC;내다보이/VV
NEG,게/EC;느끼/VV
NEG,게/EC;느끼/VV;어/EC
POS,게/EC;늘/VV
POS,게/EC;다가오/VV
NEG,게/EC;다르/VA
POS,게/EC;다르/VA;아/EC
NEG,게/EC;다르/VA;지/EC
POS,게/EC;다지/VV
POS,게/EC;다지/VV;어/EC
None,게/EC;도/JX
POS,게/EC;도/JX;바라/VV
POS,게/EC;되/VV
POS,게/EC;되/VV;ㄴ/ETM
COMP,게/EC;되/VV;ㄹ까/EC
POS,게/EC;되/VV;었/EP
POS,게/EC;되도록/MAG
POS,게/EC;되도록/MAG;쉽/VA
POS,게/EC;되살리/VV
NEG,게/EC;들리/VV
POS,게/EC;따지/VV
POS,게/EC;따지/VV;어/EC
NEUT,게/EC;뜨겁/VA
NEUT,게/EC;뜨겁/VA;어/EC
NEUT,게/EC;마련/NNB
NEUT,게/EC;마련/NNB;이/VCP
NEG,게/EC;만/JX
NEG,게/EC;만/JX;보이/VV
NEG,게/EC;만들/VV
None,게/EC;말/NNG
None,게/EC;말/NNG;하/XSV
NEG,게/EC;무섭/VA
